symbol,address,isGamma,feeLevel,underlyingPool,type,gauge.fee,gauge.address
WMATIC/stMATIC (0.01%),0xcdedc76bcc6351275acdef823190453ec43b4edf,True,100,0x2d623c33673248E95C7a1C26aE7065eb7A7Ac0Ea,Narrow,0xeb7d949f19Ab3f1810F8bA910987d049747fCbE4,0xa9706dB53a25c004Ff95201eEFbE454434321703
WETH/frxETH (0.01%),0x184a51465925ab8a0025e47a00cab6d3769b5487,True,100,0xe5069a75Bdfe8F676B778B0aaDCcC597841F819B,Narrow,0x18C6D09Ba686eDef4EcAE852F5d4F253354Fc871,0x4ffb56016E0Ac939A5043e6Ee8B929c4561FC7aa
FRAX/frxETH (0.05%),0x1c5d12ad73875cda81d1dd7b09b994ee3b31bfc5,True,500,0x38df0c93bf69a9EfB3d3647fF459eF27235A8968,Narrow,0xD6588Baa15d13ab751Ff496d31E7509f3Ad9d055,0x26AF94E108928364B11815608831f504c72CFbeF
WMATIC/frxETH (0.05%),0x517e0971afe8c7633937715d9f3271e930bec372,True,500,0x44AAE81BE8435b6998A66d9642f66DE57DD03FC2,Narrow,0x3C854E3c75621241ecAf7231b790AF33f1d4180A,0x68410687BFD125664F6a46F4914268E9efBE5253
xbb-t-USD/CASH (0.01%),0x2be6f30d8b7cc563bbf2fa8cc48713409940adb5,True,100,0x07dBf448cCC68cA64247da04F2E24643eCf57385,Narrow,0xaBF4b96743252Af58EECaE9cD107908eFD15141f,0x2b75Cf3C8476C3E1EaaBd5A050948771A8D315e4
LINK/LUCHA (0.3%),0x44903e0b2a017f9a9bd299925649e1d1896de409,True,3000,0x91248C85DD408BD216254C3cFb51fc326290cF7e,Narrow,0x7F160FF99f004320355D6a97aF4E2675D659Be98,0xb6E87079B0134200Aab4d04C180F287f15160FCD
CASH/LUCHA (0.3%),0x5b1c4eb4e2a8faa1dcda68f9f29e00d586f57495,True,3000,0xc666c4b402Bd797185EA419261D22a8f22DDFce6,Narrow,0x9acB08E92FfAfb87e5D107707932C1CFcE076355,0xCD71C22C015baB634c741e305f13B8b5D3Ee1bed
USDC/miMATIC (0.3%),0x80e0b01044978b45accf33a74586c02ec6473f48,True,3000,0xb090BE2D2F02646057d4DF997A7A983dFb265de0,Narrow,0xbc607f634aCEA2E6897E9B9214e060414d6F329A,0x82CFf2990EDa94DC80F2515e1C365c3a32ee3ce7
FRAX/miMATIC (0.3%),0xe193c653b6030a9bb443ae7c6ef6e35d93348f98,True,3000,0xdeB25Dd2d5D168Fd6f80F154d96a2Dab81d61845,Narrow,0x62005873a62aD58855d75E7F22dF0C9dAC429db6,0x3e75c52fBbEF086dF5849dFB57094eDA000F11aa
WMATIC/miMATIC (0.3%),0xea3e41a9f4eb139ba61bf8566aa1baad195c5511,True,3000,0xC571445Fc93666e1E4FaE2E84A7b74FE6ed3978D,Narrow,0x511B94e1D3af373453FC65c63F70488754B19e78,0x5AFeBf41853dDB46F22eF6f69DF981A1eBbEDb57
CASH/ERN (0.3%),0x2a64d756c45e4dce6ab8be73ece8e6c929f65b47,True,3000,0x777a87889f42C33f9A1E5c117774694bbd857075,Narrow,0xD26ea0055Ad81596DE38060715706C055621AB6A,0x347e345c5fDd4575fB3DB85380FCffAD64f3c601
