pool_name,pool_address,pool_data,total_liquidity
FRAX/CASH (0.01%),0x72289129Dc4937a5d406d1ECeD8b2A17d007A650,"[((b'""&\xf6\xac\x8f\\u\x85N7u\x87\xb6\xeb\x00\x04\xbd$\x17-\xc5=~g\xc5C\t\xdd\x17cN\xa3', '0x72289129Dc4937a5d406d1ECeD8b2A17d007A650', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 1845617738213823051393, [], [], 3000, 3000, 4000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 100, ('0x45c32fA6DF82ead1e2EF74d17b76547EDdFaFF89', 18, 'FRAX', 5140108190474473059904), ('0x5D066D022EDE10eFa2717eD3D79f22F949F8C175', 18, 'CASH', 9121683452114011320738), 'oRETRO', 18)]",14247.71
CASH/RETRO (1%),0xb47A07966cE6812702C0567d03725F1b37E27877,"[((b'\x10\xf6A\xa9x\xeez\x02J0\xd0\xb4\xea\x07\xc3\xf2\xfb\x04\x07\xb4\xe4\x9bQ(\x9d\xbaLy6\xc1\x17C', '0xb47A07966cE6812702C0567d03725F1b37E27877', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 44127547036530461252662, [], [], 7000, 0, 3000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 10000, ('0x5D066D022EDE10eFa2717eD3D79f22F949F8C175', 18, 'CASH', 106707405050423506130322), ('0xBFA35599c7AEbb0dAcE9b5aa3ca5f2a79624D8Eb', 18, 'RETRO', 2110869622942288394856409), 'oRETRO', 18)]",269489.45
WETH/RETRO (1%),0x35394eED0Be676ec6470fE6531daD809265310ff,"[((b'\xbe\x14\xf7W\xa3\xd4\xaf|\x07\xb2\xb5\x9f\xe4\xba/\x1d5+)\x8f\x18\xec\x998\xd0\xe7v\xd7~4\xfd\xef', '0x35394eED0Be676ec6470fE6531daD809265310ff', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 24468244851026600871235, [], [], 7000, 0, 3000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 10000, ('0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619', 18, 'WETH', 45725711208397941648), ('0xBFA35599c7AEbb0dAcE9b5aa3ca5f2a79624D8Eb', 18, 'RETRO', 214908803021546014831079), 'oRETRO', 18)]",105880.57
WMATIC/RETRO (1%),0x547FD24AA2ED09d86dAC02E36b8Ce84A59fD644F,"[((b""\xe9?\xdf[\xf6\x8b\x9f\xf2#\xbb\xcc\x85\xdf\xbc\x80n|o75\x13\x9fL<\x07s'\xa2\xc1\x1d\xfe\xcf"", '0x547FD24AA2ED09d86dAC02E36b8Ce84A59fD644F', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 39686134936208316819109, [], [], 7000, 0, 3000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 10000, ('0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270', 18, 'WMATIC', 154124177608398184072630), ('0xBFA35599c7AEbb0dAcE9b5aa3ca5f2a79624D8Eb', 18, 'RETRO', 77385768034948896886863), 'oRETRO', 18)]",135331.43
WBTC/RETRO (1%),0x0F73E719a76947752E4b26A2c3FC80a580e68fB4,"[((b'\x17h\rJ\x10\r""e\xe0r\xd0\xc4\x90\xab|\xd6\xff~\xdf6$\xe2}Q\xfb\xb2S\xc4v\xd4\x14\xe8', '0x0F73E719a76947752E4b26A2c3FC80a580e68fB4', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 8964474470767898170573, [], [], 7000, 0, 3000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 10000, ('0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6', 8, 'WBTC', 103414450), ('0xBFA35599c7AEbb0dAcE9b5aa3ca5f2a79624D8Eb', 18, 'RETRO', 35557282704419242323567), 'oRETRO', 18)]",40477.89
stMATIC/RETRO (1%),0x0973698BB6399c39d628698f9300430C4e7c9bf9,"[((b'\xa9\xcc\x88\x13\x81G&\xfb\xb8\x1cM$yy\x8et\x81\x80\xaf\x99\xe2bWGM83|\x059\xf3\xe6', '0x0973698BB6399c39d628698f9300430C4e7c9bf9', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 2506992389099859230430, [], [], 7000, 0, 3000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 10000, ('0x3A58a54C066FdC0f2D55FC9C89F0415C92eBf3C4', 18, 'stMATIC', 20669067208904709982381), ('0xBFA35599c7AEbb0dAcE9b5aa3ca5f2a79624D8Eb', 18, 'RETRO', 56253421290627507153436), 'oRETRO', 18)]",23339.18
USDC/RETRO (1%),0xc7d8B9c270D0E31A6a0Cf4496fe019766Be42E15,"[((b'5\x000\x94\x02h\xc4;B1\x15\x9f\xa5\x11\x86F\x81 [\xd5O\xcc\xd6\xacQ\x1f\xd3\xb6\xb8\xf7\x08\x82', '0xc7d8B9c270D0E31A6a0Cf4496fe019766Be42E15', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 19409923501398434112217, [], [], 7000, 0, 3000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 10000, ('0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 6, 'USDC', 43226129546), ('0xBFA35599c7AEbb0dAcE9b5aa3ca5f2a79624D8Eb', 18, 'RETRO', 85761089773761977342873), 'oRETRO', 18)]",49838.71
RETRO/USDT (1%),0x69dCAE97A1286B112a8BD75bD9147bD0a3207756,"[((b'\xbd{\xf4\xaa\xdb\n\xf9?Q\xbb\xed\x90tB\xd9$\x1c\x93\xf8\xdbjZ\xb6o\r\xc1\xea,C\xccG\x17', '0x69dCAE97A1286B112a8BD75bD9147bD0a3207756', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 1240180892659610495859, [], [], 0, 7000, 3000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 10000, ('0xBFA35599c7AEbb0dAcE9b5aa3ca5f2a79624D8Eb', 18, 'RETRO', 48397987628192062269885), ('0xc2132D05D31c914a87C6611C10748AEb04B58e8F', 6, 'USDT', 9956831103), 'oRETRO', 18)]",13690.4
miMATIC/RETRO (1%),0xd98eEf295f78ddDd104a8645854C7F8714B39B88,"[((b'\xbc\xd8\xdec\xc4\xb79\xb8vj#p\xa9:\xef\xb8\xcd?[N\x87\xa9+@Z<\xab\t\xa2!)\xc3', '0xd98eEf295f78ddDd104a8645854C7F8714B39B88', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 505501292472809368916, [], [], 7000, 0, 3000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 10000, ('0xa3Fa99A148fA48D14Ed51d610c367C61876997F1', 18, 'miMATIC', 15258513166892979406211), ('0xBFA35599c7AEbb0dAcE9b5aa3ca5f2a79624D8Eb', 18, 'RETRO', 70289057181641171057208), 'oRETRO', 18)]",17696.82
LINK/RETRO (1%),0x7761c7233924C3D72F27Fae6a81B074C0152e03a,"[((b'\x9b\xea\x7fS\xf2F\xaf\xd0\x03\xf7w\xdc\x07s\xe3\x1b\xdaf\xb9k\xeb\xcc\xf9{\xa1\xd5\xfd\x16o\x9egY', '0x7761c7233924C3D72F27Fae6a81B074C0152e03a', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 8958888595693421076289, [], [], 7000, 0, 3000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 10000, ('0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39', 18, 'LINK', 1417438219755991921590), ('0xBFA35599c7AEbb0dAcE9b5aa3ca5f2a79624D8Eb', 18, 'RETRO', 90817119078893936142676), 'oRETRO', 18)]",26977.61
