Epoch,Emissions,LP,Rebase,Team
119,242136.02,199762.2165,36320.403,6053.4
120,237293.3,195766.9725,35593.995,5932.33
121,232547.43,191851.6298,34882.1145,5813.69
122,227896.48,188014.596,34184.472,5697.41
123,223338.55,184254.3038,33500.7825,5583.46
124,218871.78,180569.2185,32830.767,5471.79
125,214494.35,176957.8388,32174.1525,5362.36
126,210204.46,173418.6795,31530.669,5255.11
127,206000.37,169950.3053,30900.0555,5150.01
128,201880.36,166551.297,30282.054,5047.01
129,197842.76,163220.277,29676.414,4946.07
130,193885.9,159955.8675,29082.885,4847.15
131,190008.18,156756.7485,28501.227,4750.2
132,186208.02,153621.6165,27931.203,4655.2
133,182483.86,150549.1845,27372.579,4562.1
134,178834.18,147538.1985,26825.127,4470.85
135,175257.5,144587.4375,26288.625,4381.44
136,171752.35,141695.6888,25762.8525,4293.81
137,168317.3,138861.7725,25247.595,4207.93
138,164950.96,136084.542,24742.644,4123.77
139,161651.94,133362.8505,24247.791,4041.3
140,158418.9,130695.5925,23762.835,3960.47
141,155250.52,128081.679,23287.578,3881.26
142,152145.51,125520.0458,22821.8265,3803.64
143,149102.6,123009.645,22365.39,3727.56
144,146120.55,120549.4538,21918.0825,3653.01
145,143198.14,118138.4655,21479.721,3579.95
146,140334.17,115775.6903,21050.1255,3508.35
147,137527.49,113460.1793,20629.1235,3438.19
148,134776.94,111190.9755,20216.541,3369.42
149,132081.4,108967.155,19812.21,3302.04
150,129439.77,106787.8103,19415.9655,3235.99
151,126850.98,104652.0585,19027.647,3171.27
152,124313.96,102559.017,18647.094,3107.85
153,121827.68,100507.836,18274.152,3045.69
154,119391.13,98497.68225,17908.6695,2984.78
155,117003.3,96527.7225,17550.495,2925.08
156,114663.24,94597.173,17199.486,2866.58
157,112369.97,92705.22525,16855.4955,2809.25
158,110122.57,90851.12025,16518.3855,2753.06
159,107920.12,89034.099,16188.018,2698
160,105761.72,87253.419,15864.258,2644.04
161,103646.48,85508.346,15546.972,2591.16
162,101573.56,83798.187,15236.034,2539.34
163,99542.08,82122.216,14931.312,2488.55
164,97551.24,80479.773,14632.686,2438.78
165,95600.22,78870.1815,14340.033,2390.01
166,93688.21,77292.77325,14053.2315,2342.21
167,91814.45,75746.92125,13772.1675,2295.36
168,89978.16,74231.982,13496.724,2249.45
169,88178.6,72747.345,13226.79,2204.46
170,86415.02,71292.3915,12962.253,2160.38
171,84686.72,69866.544,12703.008,2117.17
172,82992.99,68469.21675,12448.9485,2074.82
173,81333.13,67099.83225,12199.9695,2033.33
174,79706.47,65757.83775,11955.9705,1992.66
175,78112.34,64442.6805,11716.851,1952.81
176,76550.09,63153.82425,11482.5135,1913.75
177,75019.09,61890.74925,11252.8635,1875.48
178,73518.71,60652.93575,11027.8065,1837.97
179,72048.33,59439.87225,10807.2495,1801.21
180,70607.37,58251.08025,10591.1055,1765.18
181,69195.22,57086.0565,10379.283,1729.88
182,67811.32,55944.339,10171.698,1695.28
183,66455.09,54825.44925,9968.2635,1661.38
184,65125.99,53728.94175,9768.8985,1628.15
185,63823.47,52654.36275,9573.5205,1595.59
186,62547,51601.275,9382.05,1563.67
187,61296.06,50569.2495,9194.409,1532.4
188,60070.14,49557.8655,9010.521,1501.75
189,58868.73,48566.70225,8830.3095,1471.72
190,57691.36,47595.372,8653.704,1442.28
191,56537.53,46643.46225,8480.6295,1413.44
192,55406.78,45710.5935,8311.017,1385.17
193,54298.65,44796.38625,8144.7975,1357.47
194,53212.67,43900.45275,7981.9005,1330.32
195,52148.42,43022.4465,7822.263,1303.71
196,51105.45,42161.99625,7665.8175,1277.64
197,50083.34,41318.7555,7512.501,1252.08
198,49081.68,40492.386,7362.252,1227.04
199,48100.04,39682.533,7215.006,1202.5
200,47138.04,38888.883,7070.706,1178.45
